,name,ons_code,mp,signature_count,Population,PercSigned,party
111,Somerton and Frome,E14000932,David Warburton MP,9469,106834,0.088632832,
112,Epsom and Ewell,E14000694,Rt Hon Chris Grayling MP,9744,109981,0.088597121,
113,The Cotswolds,E14000991,Sir Geoffrey Clifton-Brown MP,8854,100817,0.08782249,
114,East Hampshire,E14000680,Rt Hon Damian Hinds MP,8591,98009,0.087655215,
115,Macclesfield,E14000802,David Rutley MP,8189,93692,0.087403407,
116,West Dorset,E14001031,Rt Hon Sir Oliver Letwin MP,8556,98090,0.087226017,
117,Buckingham,E14000608,Rt Hon John Bercow MP,9152,104977,0.087181002,Speaker
118,Tottenham,E14001002,Rt Hon David Lammy MP,12409,142569,0.087038557,
119,City of Chester,E14000640,Christian Matheson MP,8369,96364,0.086847785,
120,Cheadle,E14000627,Mary Robinson MP,7925,93422,0.084830126,
121,Hertford and Stortford,E14000744,Mr Mark Prisk MP,9649,113894,0.084719125,
122,North East Somerset,E14000846,Mr Jacob Rees-Mogg MP,7922,93654,0.084587951,Conservative
123,Reigate,E14000893,Crispin Blunt MP,8925,106027,0.084176672,
124,Bromley and Chislehurst,E14000604,Robert Neill MP,8009,95597,0.08377878,
125,Newcastle upon Tyne East,E14000832,Rt Hon Nicholas Brown MP,8503,101547,0.083734625,
126,Westmorland and Lonsdale,E14001037,Tim Farron MP,7085,84614,0.083733188,
127,Derbyshire Dales,E14000664,Rt Hon Sir Patrick McLoughlin MP,6662,79872,0.083408454,
128,"Liverpool, Riverside",E14000793,Dame Louise Ellman MP,10971,131888,0.083184217,
129,Windsor,E14001042,Adam Afriyie MP,8775,105669,0.08304233,
130,Romsey and Southampton North,E14000901,Rt Hon Caroline Nokes MP,7556,91141,0.082904511,
131,Horsham,E14000753,Jeremy Quin MP,9251,111853,0.082706767,
132,Arfon,W07000057,Hywel Williams MP,5129,62304,0.082322162,
133,Beaconsfield,E14000550,Rt Hon Dominic Grieve QC MP,8406,102421,0.082073012,
134,Tatton,E14000987,Rt Hon Esther McVey MP,7026,86010,0.081688176,
135,Aberdeen South,S14000002,Ross Thomson MP,7759,95309,0.081408891,
136,Chippenham,E14000635,Michelle Donelan MP,8117,99897,0.081253691,
137,York Outer,E14001062,Julian Sturdy MP,7807,96226,0.081131919,
138,Hexham,E14000746,Guy Opperman MP,6265,77272,0.081077234,
139,Chichester,E14000633,Gillian Keegan MP,8933,110722,0.08067954,
140,Ceredigion,W07000064,Ben Lake MP,5890,73076,0.080601018,
141,"Ruislip, Northwood and Pinner",E14000906,Rt Hon Nick Hurd MP,7827,97520,0.080260459,
142,High Peak,E14000748,Ruth George MP,7357,92063,0.079912668,
143,Pudsey,E14000886,Stuart Andrew MP,7311,91879,0.079572046,
144,North East Hertfordshire,E14000845,Rt Hon Sir Oliver Heald QC MP,7970,100639,0.079193951,
145,Newbury,E14000830,Rt Hon Richard Benyon MP,8846,111848,0.079089479,
146,West Aberdeenshire and Kincardine,S14000058,Andrew Bowie MP,7684,97158,0.079087672,
147,Argyll and Bute,S14000005,Brendan O'Hara MP,6841,86810,0.078804285,
148,East Worthing and Shoreham,E14000682,Tim Loughton MP,7855,99758,0.078740552,
149,Wirral West,E14001044,Margaret Greenwood MP,5447,69375,0.078515315,
150,Harrogate and Knaresborough,E14000730,Andrew Jones MP,8073,103322,0.078134376,
151,Sevenoaks,E14000918,Rt Hon Sir Michael Fallon MP,7559,96949,0.077968829,
152,Eltham,E14000690,Clive Efford MP,7419,95175,0.077951143,
153,East Devon,E14000678,Rt Hon Sir Hugo Swire MP,8105,104193,0.077788335,
154,North Wiltshire,E14000860,James Gray MP,7313,94290,0.077558596,
155,Stratford-on-Avon,E14000977,Nadhim Zahawi MP,7149,92178,0.077556467,
156,Wealden,E14001023,Ms Nusrat Ghani MP,8423,108729,0.077467833,
157,Tonbridge and Malling,E14000997,Tom Tugendhat MP,8082,105463,0.076633511,
158,Filton and Bradley Stoke,E14000702,Jack Lopresti MP,7756,101349,0.076527642,
159,Stockport,E14000969,Ann Coffey MP,6767,88745,0.076252183,
160,Monmouth,W07000054,David T. C. Davies MP,6527,85613,0.076238422,
161,Tynemouth,E14001006,Sir Alan Campbell MP,7613,100074,0.076073705,
162,Runnymede and Weybridge,E14000907,Rt Hon Philip Hammond MP,8279,108976,0.075970856,Conservative
163,Croydon South,E14000656,Chris Philp MP,8921,117685,0.075804053,
164,Salisbury,E14000912,John Glen MP,7262,96573,0.075197001,
165,Midlothian,S14000045,Danielle Rowley MP,6746,90090,0.074880675,
166,West Worcestershire,E14001035,Harriett Baldwin MP,7105,95096,0.074713973,
167,Sutton and Cheam,E14000984,Paul Scully MP,7578,101463,0.074687324,
168,Broxtowe,E14000607,Rt Hon Anna Soubry MP,7206,97540,0.073877384,
169,Cardiff South and Penarth,W07000080,Stephen Doughty MP,8481,115406,0.07348838,
170,Saffron Walden,E14000910,Mrs Kemi Badenoch MP,8183,111701,0.073258073,
171,Wells,E14001026,James Heappey MP,7789,106881,0.072875441,
172,Chingford and Woodford Green,E14000634,Rt Hon Iain Duncan Smith MP,6871,94571,0.072654408,
173,Banbury,E14000539,Victoria Prentis MP,8905,122939,0.072434297,
174,East Surrey,E14000681,Mr Sam Gyimah MP,8096,111878,0.07236454,
175,Orkney and Shetland,S14000051,Rt Hon Alistair Carmichael MP,3260,45080,0.072315883,
176,Dunfermline and West Fife,S14000017,Douglas Chapman MP,7237,101161,0.071539427,
177,Stretford and Urmston,E14000979,Kate Green MP,7196,100958,0.071277165,
